Question,Answer
What are the prices of the rooms,"The prices vary according to the room type The prices of our rooms are Comfort Standard Room 108rmb, Comfort Single Room 108rmb, Business Duplex Standard Room 108rmb, Business Duplex King Room 108rmb, Executive Business Standard King Room 128rmb, Fashionable Smart Standard Room 158rmb, Fashionable Smart King Room 158rmb, Leisure Duplex Chess Room 200rmb, Leisure Duplex Chess Room 200rmb, and Diversified Smart Film Room 400rmb Does this help"
"Yes, that helps a lot I think I want to book a Comfort Single Room How do I go about doing this","You can book a Comfort Single Room on our website Just fill out the online form, provide your payment details to confirm the reservation and you will receive a confirmation email If you have any more questions, you can call our front desk at 1234567789 We look forward to having you as our guest"
"Hello, I am interested in making a reservation at the Lihao Hotel",Hi there How can I help you
"Well, I would like to know what the checkin and checkout times are",The checkin time at Lihao Hotel is 3 PM and checkout time is 12 PM
"Okay, great I also would like to know what type of rooms you have available","Sure, we have Comfort Standard Room for 108 RMB, Comfort Single Room for 108 RMB, Business Duplex Standard Room for 108 RMB, Business Duplex King Room for 108 RMB, Executive Business Standard King Room for 128 RMB, Fashionable Smart Standard Room for 158 RMB, Fashionable Smart King Room for 158 RMB, Leisure Duplex Chess Room for 200 RMB, Leisure Duplex Chess Room for 200 RMB, and Diversified Smart Film Room for 400 RMB"
What other amenities are available at the hotel,"We have a breakfast buffet available from 930 am to 1030 am and a gym that is available for guests You may also be able to access WiFi with the password being the room number, and we have amenities such as a supermarket, cinema, and market located near the hotel Plus, all rooms have an air conditioner, washing machine, hair dryer, television, and electric kettle Free parking is also available near the hotel"
That sounds great What is the address of the hotel,"The address is 186 Zhuluo East Road, right next to the fruit market and across from Futian Garden"
Perfect I might make a reservation later Do you offer any discounts,"Yes, we do have periodic discount promotions If you subscribe to our mailing list, you will get updated information about the latest deals"
"Thats great, thank you","Youre most welcome If you have any more questions, please feel free to contact us at 1234567789 Have a nice day"
"Hello, Im calling to inquire about availability",Hi there Welcome to Lihao Hotel How can I help you
Id like to know if you have any rooms available for the time of my stay and the best rate for your rooms,"Yes, we have availability for the time of your stay Our hotel offers a variety of rooms, including Comfort Standard and Single Room, Business Duplex Standard and King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, and King Room, Leisure Duplex Chess Room, and Diversified Smart Film Room The rates for the rooms range from 108 rmb to 400 rmb"
Thats great What amenities are included with each room,"Each of the rooms includes air conditioning, a washing machine, a hair dryer, a television, and an electric kettle We also provide complimentary WiFi with a password associated with the room number"
Sounds great Do you have breakfast included in the price of the rooms,"Yes, we offer a complimentary breakfast from 930 am  1030 am The breakfast menu is a variety of continental items"
Does the hotel provide any other amenities,"Yes, we provide a 24hour front desk service, and guests can use the gym facilities in our hotel In addition, we offer free parking near the hotel, and our hotel is also close to a variety of amenities such as supermarket, cinema, and market Is there anything else I can help you with"
"No, thank you Thats all the information I need",Great We look forward to hosting you during your stay Please dont hesitate to contact us if theres anything else we can help you with Have a nice day
Hello,Hello How may I be of assistance
Im inquiring about Lihao Hotel,"Great Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Would you like to know more"
"Yes, I would What room types do you offer","We offer Comfort Standard Room for 108rmb, Comfort Single Room for 108rmb, Business Duplex Standard Room for 108rmb, Business Duplex King Room for 108rmb, Executive Business Standard King Room for 128rmb, Fashionable Smart Standard Room for 158rmb, Fashionable Smart King Room for 158rmb, Leisure Duplex Chess Room for 200rmb, Leisure Duplex Chess Room for 200rmb, and Diversified Smart Film Room for 400rmb"
