Question,Answer,Question class
"Yes, what amenities do you offer What about WiFi, air conditioning, washing machine and hair dryer","We offer WiFi with the password being the room number We also provide air conditioning, washing machine and hair dryer Other amenities are a television, electric kettle, supermarket, cinema, and market We also offer free parking near the hotel Do you need anything else",4
Do you offer a gym for your guests and breakfast,"Yes, we do offer a gym for our guests We also offer breakfast which is available from 930 am to 1030 am Do you have any other questions",4
"No, thats all Whats the front desk telephone number where I can book my room",Our front desk telephone number is 1234567789 Kindly call in advance to confirm your reservations Thank you and have a nice day,1
"Hi, Id like to know more about your Lihao Hotel","Certainly Lihao Hotel is a threestar hotel located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer an array of room options, including Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, and Diversified Smart Film Rom400rmb",4
What facilities do you offer,"Our hotel offers various facilities, such as free parking near the hotel, a gym, a breakfast service from 930 am to 1030 am, WiFi with the password being the room number, an air condiitioner, a washing machine, a hairdryer, a television and an electric kettle We also offer nearby amenities such as a supermarket, cinema, and market",4
What are the checkin and checkout times,"The checkin time is 300 pm, and the checkout time is 1200 pm",4
Is there any additional information that I should know about the hotel,"We offer excellent service and a friendly atmosphere Our staff is always ready and happy to help you with any queries or information regarding the hotel Additionally, we also have an excellent team of professional housekeeping that will keep your room clean and sparkling throughout your stay",1
"Hi, I would like to book a room for myself for one night Can you tell me what rooms and prices you have available","Of course, we have a variety of room types for you to choose from at Lihao Hotel We offer Comfort Standard Rooms for 108 Yuan, Comfort Single Rooms for 108 Yuan, Business Duplex Standard Rooms for 108 Yuan, Business Duplex King Rooms for 108 Yuan, Executive Business Standard King Rooms for 128 Yuan, Fashionable Smart Standard Rooms for 158 Yuan, Fashionable Smart King Rooms for 158 Yuan, Leisure Duplex Chess Rooms for 200 Yuan, Leisure Duplex Chess Rooms for 200 Yuan and Diversified Smart Film Rooms for 400 Yuan Do you have a preferred room type",1
Id like a Fashionable Smart Standard Room if those are still available,"Yes, we do have Fashionable Smart Standard Rooms still available It costs 158 Yuan per night Is that okay",4
"Yes, thats perfect About what time do you have checkin and checkout",Checkin for our guests is at 3 pm and checkout time is 12 pm,4
Sounds good Do you provide any other amenities to guests,"Yes, we certainly do Breakfast is served from 930 am to 1030 am We have a gym available for our guests, you can get the WiFi password from the front desk staff, which is the same as your room number There are nearby amenities like a supermarket, cinema, and market We also provide air conditioning, washing machine, hair dryer, television, and electric kettle in our rooms We also have free parking available near the hotel",4
Sounds great Is there anything else I should know before I book a room,"No, I think thats all All you need to do is just let us know when youd like to make your reservation",4
"Hi, I have a few questions about the Lihao Hotel","Hi there, how can I help you",4
Does the hotel have air conditioning,"Yes, the hotel does have air conditioning available for guests",4
What about a washing machine,"Yes, all our rooms come with a washing machine",4
Does the hotel have a hairdryer,"Yes, all our rooms come with a hairdryer",4
Does the hotel provide complimentary WiFi,"Yes, every room has WiFi available with the password being the room number",4
Do you offer free parking,"Yes, we do offer free parking around the hotel",3
What time is checkin,Checkin is at 300 pm,3
What time is checkout,Checkout time is at 1200 pm,4
Does the hotel have a gym or fitness center,"Yes, the hotel does have a gym for guests",4
Does the hotel provide breakfast,"Yes, we offer a complimentary breakfast from 930 am to 1030 am",4
Are there any nearby amenities,"Yes, there is a supermarket, cinema, and market located near the hotel",4
Do the rooms have a television,"Yes, all of our rooms come with a television",4
Does the hotel provide an electric kettle,"Yes, all our rooms come equipped with a electric kettle",4
What type of rooms do you offer,"We offer Comfort Standard Rooms for 108rmb, Comfort Single Rooms for 108rmb, Business Duplex Standard Rooms for 108rmb, Business Duplex King Rooms for 108rmb, Executive Business Standard King Rooms for 128rmb, Fashionable Smart Standard Rooms for 158rmb, Fashionable Smart King Rooms for 158rmb, Leisure Duplex Chess Rooms for 200rmb, and Diversified Smart Film Rooms for 400rmb",4
